Dataset	Number of genomes	Coverage	Number of samples	Average bin size	Average prevalence	Number of contigs
Sim-1	500	3X	4	3.16 (+-0.74)	2.25 (+-0.07)	678.10 (+-165.07)
Sim-2	500	3X	15	1.89 (+-0.15)	6.30 (+-0.37)	893.90 (+-70.80)
Sim-3	500	10X	4	2.54 (+-0.39)	2.61 (+-0.12)	838.50 (+-173.65)
Sim-4	500	10X	15	1.17 (+-0.12)	8.54 (+-0.32)	582.50 (+-57.05)
Sim-5	2000	3X	4	3.25 (+-0.32)	2.18 (+-0.07)	2554.70 (+-195.07)
Sim-6	2000	3X	15	2.07 (+-0.09)	5.97 (+-0.10)	3871.50 (+-163.80)
Sim-7	2000	10X	4	2.48 (+-0.08)	2.56 (+-0.08)	3209.90 (+-93.17)
Sim-8	2000	10X	15	1.27 (+-0.14)	7.96 (+-0.29)	2520.70 (+-271.95)
